히라가나,뜻
かのう,가능
ゆうのう,유능
すばらしい,훌륭하다
しはらう,지불하다
ふで,붓
つづき,계속
ふうふ,부부
まもる,지키다
さそう,권유하다
めいかくに,명확히
しゅつげん,출현
しりつ,사립
かせん,하천
つり,낚시
おと,소리
おうぼ,응모
じめん,지면
ふか,불가
さんせい,찬성
うわさ,소문
いきもの,생물
かっき,활기
しゅうかつ,취활
かしこい,영리하다
しろ,성
しんごう,신호
てんこう,날씨
しょてん,서점
あんき,암기
じょうけん,조건
としつき,"연월, 세월"
かん,"육감, 직감"
あき,(속이) 빔
かいし,개시
まわり,"돎, 회전"
まっすぐ,앞으로 쭉 곧음
むける,향(하게)하다
うれしい,기쁘다
うつす,옮기다
だいめい,제목
あらし,폭풍
くべつ,구별
としょ,도서
きょうじゅ,교수
かじ,가사 (집안일)
うしなう,잃다
ほほえむ,미소짓다
くらし,"살림, 생활"
おどろかす,놀라게 하다
ろんぶん,논문
ぜひ,꼭
ころぶ,넘어지다
とびだす,뛰어나가다
どうりょう,동료
にゅういん,입원
じゅんび,준비
ろんじる,논하다
つねに,항상
くわえる,"가하다, 더하다"
うごかす,움직이다
じゅうたく,주택
ちこく,지각
めし,밥
かんぜん,완전
ながす,"흘리다, 흐르게 하다"
もくひょう,목표
こうふく,행복
むかえ,"맞이함, 마중"
せんこう,전공
かいせつ,해설
ゆうじょう,우정
とばす,날리다
れいぎ,예의
まんが,만화
およぎ,"수영, 헤엄"
たずねる,방문하다
どくしん,독신
とち,토지
しぜん,자연
あっか,악화
まね,흉내
かんり,관리
ちへいせん,지평선
こうがく,공학
よぶん,여분
うまれ,"탄생, 출생"
こうか,효과
ねんれい,연령
にがて,서투름
たんなる,단순한
まっか,새빨감
すみ,"구석, 모서리"
かなしむ,슬퍼하다
じゅうきょ,주거
たんご,단어
いち,위치
やね,지붕
すくう,구(원)하다
がら,"분수, 무늬"
かんこう,관광
けむり,연기
じゃま,방해
えんげき,연극
うさぎ,토끼
げんきん,현금
かんかく,감각
ひかく,비교
えがく,그리다
なまける,게으름 피우다
な,이름
かいしゅう,회수
おそろしい,두렵다
きねん,기념
さいてい,"최저, 최하"
ねっしん,열심
おもいで,추억
あしもと,발밑
かせぐ,벌다
りょうがえ,환전
どくしょ,독서
かぎ,열쇠
あきらめる,포기하다
かいてき,쾌적
かたく,귀택 (귀가)
たいくつ,지루함
みごと,"훌륭함, 멋짐"
わりざん,나눗셈
かゆい,가렵다
じょし,여자
わざと,"일부러, 고의로"
さいちゅう,한창
こうそく,고속
けいけん,경험
あな,구멍
てじな,"요술, 마술"
だく,"품다, 안다"
しんがく,진학
まずしい,변변찮다
いはん,위반
きょか,허가
せきゆ,석유
しめす,"나타내다, 가리키다"
しんさつ,인쇄
しじん,시인
じまん,자랑
まんいち,만일
はなれる,"떨어지다, 멀어지다"
ぬける,빠지다
せいかく,정확
ていしゅつ,제출
とどく,"닿다, 도착하다"
よう,취하다
もよう,모양
たよる,의지하다
せいり,정리
たしょう,다소
りかい,이해
たいほ,체포
やちん,집세 (한국의 월세)
きづく,눈치채다
ほうそう,방송
げんご,언어
ひとこと,한마디 (말)
せいめい,생명
しゅうかん,주간
しょうひ,소비
ぜんいん,전원
きにいる,마음에 들다
きんむ,근무
にあう,어울리다
だいぶぶん,대부분
じょうきょう,상황
そくど,속도
たたかう,싸우다
しゅうせい,수정
しよう,사용
あじわう,맛보다
むだ,쓸데없음
せいけつ,청결
とれる,"떨어지다, 빠지다"
